ID,age,error,ring,cc
"U-35(rings 341–350)AA37657",2310,43,346,1
"U-34(rings 331–340)AA37656",2260,38,336,1
"U-33(rings 321–330)AA37655",2230,34,326,1
"U-32(rings 311–320)AA37654",2205,34,316,1
"U-31(rings 301–310)AA37653",2280,36,306,1
"U-30(rings 291–300)AA37652",2280,46,296,1
"U-29(rings 281–290)AA37651",2260,40,286,1
"U-28(rings 271–280)AA37650",2270,40,276,1
"U-27(rings 261–270)AA37649",2340,41,266,1
"U-26(rings 251–260)AA37648",2450,41,256,1
"U-25(rings 241–250)AA37647",2435,58,246,1
"U-24(rings 231–240)AA37646",2395,26,236,1
"U-23(rings 221–230)AA37645",2470,26,226,1
"U-22(rings 211–220)AA37644",2435,26,216,1
"U-21(rings 201–210)AA37643",2460,26,206,1
"U-20(rings 191–200)AA37642",2410,26,196,1
"U-19(rings 181–190)AA37641",2460,36,186,1
"U-18(rings 171–180)AA37602",2470,19,176,1
"U-17(rings 161–170)AA37601",2470,19,166,1
"U-16(rings 151–160)AA37600",2470,19,156,1
"U-15(rings 141–150)AA37599",2440,22,146,1
"U-14(rings 131–140)AA37598",2435,39,136,1
"U-13(rings 121–130)AA37597",2480,19,126,1
"U-12(rings 111–120)AA37596",2480,25,116,1
"U-11(rings 101–110)AA37595",2490,20,106,1
"U-10(rings 91–100)AA37594",2520,20,96,1
"U-9(rings 81–90)AA37593",2505,19,86,1
"U-8(rings 71–80)AA37592",2525,19,76,1
"U-7(rings 61–70)AA37591",2510,22,66,1
"U-6(rings 51–60)AA37590",2490,18,56,1
"U-5(rings 41–50)AA37589",2500,18,46,1
"U-4(rings 31–40)AA37588",2470,22,36,1
"U-3(rings 21–30)AA37587",2470,19,26,1
"U-2(rings 11–20)AA37586",2440,22,16,1
"U-1(rings 1–10)AA37585",2540,19,6,1
